# The grove's pieces: which model each one is rendered from, and what it costs.
#
# columns, tab separated:
#   model     pack:path/to/model   — no extension. Several parts joined by `+`;
#                                    see grove_roster.Row.parts for why they are
#                                    spelled out rather than inferred.
#   id        the permanent piece id. It is written into save files twice over — into
#             the stock and into every tile holding one — so it never changes
#             (invariant 1). Re-pointing an id at a different model is fine and
#             expected; renaming one empties the tiles of everybody who placed it.
#   shelf     which tab of the shop sells it. One of HomesteadSlotKind's names.
#   cost      credits. A piece a grove holds is worth this, and a grove's worth reaches
#             a public leaderboard, so it is an economy number rather than a label.
#   bundle    copies one purchase grants. Must divide `cost` exactly (invariant 16h).
#   facings   1 or 4. Four for anything with a front — a house, a cart, a gate. One for
#             anything a quarter turn would not change, because four facings is four
#             times the download and a barrel does not need it.
#   cols/rows tiles it OCCUPIES, as drawn. Not what it paints: a pine is wider than a
#             cottage and stands on one tile, because a tree's footprint is its trunk
#             (invariant 16i). Sides are 1..4 (GroveFootprint.MaxSide).
#   name      the English string, written to loc/en.json as ui.piece.<id>.
#
# WHAT IS NOT HERE, AND MUST NOT BE. No `scale` and no `lift`. Both used to be typed
# per piece because the art was cut from a flat sheet and nothing could know how big the
# thing was or where its feet were. A rendered model knows both exactly, so both are
# measured by make_grove_art.py and written into homestead.json by import_grove_art.py.
# A number that can be measured is never typed.
#
# ONE PACK, ON PURPOSE. Everything here is the KayKit Medieval Hexagon Pack. The forest
# and dungeon packs were surveyed and left out — not for quality but for register: their
# trees are bright and round where these are dark and faceted, and a village furnished
# from two hands reads as two games (invariant 7c, and the interface kit's own rule that
# furniture and goods come from one hand). A second pack is a column here when one is
# wanted, which is the whole point of the roster.
#
# THE HOME LADDER IS NOT IN THIS FILE. A dwelling is not decor — exactly one stands, on
# the hall's own tile, and the best one owned is the one drawn — so it lives in
# grove_roster.DWELLINGS where its tiers are visible in one place.
# ----------------------------------------------------------------- structure
hex:buildings/neutral/building_destroyed	ruin	structure	1200	1	4	4	3	Ruined House	1.00
hex:buildings/green/building_home_A_green	house_small_green	structure	1400	1	4	2	2	Green Cottage	1.00
hex:buildings/red/building_home_A_red	house_small_red	structure	1400	1	4	2	2	Red Cottage	1.00
hex:buildings/yellow/building_home_A_yellow	house_small_yellow	structure	1400	1	4	2	2	Gold Cottage	1.00
hex:buildings/neutral/building_scaffolding	scaffold	structure	1600	1	4	4	4	Scaffolding	1.00
hex:buildings/blue/building_well_blue	village_well	structure	1800	1	4	2	2	Stone Well	1.00
hex:buildings/green/building_home_B_green	house_large_green	structure	2200	1	4	2	3	Green Farmhouse	1.00
hex:buildings/red/building_home_B_red	house_large_red	structure	2200	1	4	2	3	Red Farmhouse	1.00
hex:buildings/yellow/building_home_B_yellow	house_large_yellow	structure	2200	1	4	2	3	Gold Farmhouse	1.00
hex:buildings/neutral/building_stage_B	stage_long	structure	2400	1	4	3	3	Long Stage	1.00
hex:buildings/neutral/building_stage_A	stage_round	structure	2400	1	4	3	2	Round Stage	1.00
hex:buildings/neutral/building_stage_C	stage_tiered	structure	2600	1	4	3	3	Tiered Stage	1.00
hex:buildings/green/building_tower_base_green	watchtower	structure	4000	1	4	2	3	Watchtower	1.00
hex:buildings/red/building_tower_A_red+building_tower_A_red_building_tower_A_top_red	tower_stone	structure	5000	1	4	2	3	Stone Tower	1.0
hex:buildings/yellow/building_tower_B_yellow+building_tower_B_yellow_building_tower_B_top_yellow	tower_round	structure	5000	1	4	2	3	Round Tower	1.0
hex:buildings/green/building_lumbermill_green+building_lumbermill_green_building_lumbermill_saw_green+building_lumbermill_green_building_lumbermill_top_green	sawmill	structure	5500	1	4	3	3	Sawmill	1.00
hex:buildings/green/building_blacksmith_green	smithy	structure	6000	1	4	3	3	Smithy	1.00
