# A chapter's map, and where it came from.
#
# One row per chapter. `make_chapter_art.py` reads the chapter's own JSON for the
# names — its `mapStrips` — because that is the one thing this file cannot state: a
# chapter names art, it does not name the pack it was cut from.
#
# **A map is shared, and only one row cuts it.** Every mode's first chapter draws
# `map1`, every mode's second draws `map2` (`Tools/chapters/mapart.py` owns that
# rule), so a painting is cut once and drawn by every chapter at that ordinal — and
# the mode is told apart by its **perch**, the floating tile a node stands on, which
# is the rule `ModeLook.Perch` already stated and is now true of the art as well.
# The row that names a source is the one that owns the cut; every other row says `-`.
# Sharing is also what puts the strips in the **global** Addressables group instead of
# one chapter's bundle: `AddressableAddresses.ChapterOwnership` files an address two
# chapters want as belonging to nobody, which is right for a painting five draw.
#
# **Board backdrops are not cut here any more.** They used to be, per chapter, graded
# to each level's own accent — which is how the game came to hold forty-one backdrops
# out of six paintings while a whole Lightfall chapter drew one picture for ten wells.
# They are now one family of forty skies, all the same cloud painting at forty colours,
# with a tool of their own: `Tools/make_sky_art.py`. A level names one by arithmetic
# rather than by choice, so a chapter published next year needs no backdrop art at all.
#
# Re-running is safe and is the point.
#
# columns
#   chapter  the chapter id, matching Content/chapters/<id>.json
#   map      one tall image, sliced bottom-upward into `mapStrips`, or `-` when this
#            chapter draws a map some other row cut
#   grade    optional `night` strength, 0 to 1. Blank leaves the painting alone, which
#            is what every row does now: it existed to tell two chapters sharing one
#            source apart, and chapters at one ordinal are meant to be the same place.
#
# Sources are outside the repo (they are licensed packs, not project files). Pass
# the folder they were extracted into with --source; paths below are relative to it.
#
# chapter	map
#
# map1 — the island map, hand-made before this tool existed and the one map here it does
# not cut. Drawn by the first chapter of all four modes.
c01_shallows	-
# map2 — four strips, because at six this painting is 1.5x zoomed and the mill house comes
# out sliced in half. Drawn by c02_millvale and f02_glasswater.
c02_millvale	craftpix-net-567563-the-top-down-level-map-asset-pack/Png/LevelSelect.png
# map3 — five strips. Drawn by c03_amberwood and f03_whorlwater.
c03_amberwood	craftpix-net-144512-vector-top-down-level-map-asset-pack/Png/Level map.png
# map4 — six strips. Drawn by c04_nightbriar, and by whatever fourth chapter comes next.
c04_nightbriar	craftpix-net-998887-top-down-dark-level-map-asset-pack/Png/Level map.png
f01_lightfall	-
f02_glasswater	-
f03_whorlwater	-
k01_grovekeeper	-
b01_thicket	-
